Id,Wins
0,0
1,4
2,1
3,0
4,0
5,0
6,43
7,0
8,7
9,1
10,29
11,12
12,2
13,8
14,3
15,2
16,4
17,9
18,10
19,1
20,0
21,23
22,1
23,1
24,0
25,42
26,3
27,6
28,0
29,0
30,0
31,0
32,3
33,0
34,0
35,12
36,0
37,0
38,0
39,9
40,0
41,1
42,0
43,1
44,43
45,0
46,43
47,28
48,24
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,31
68,1
69,0
70,1
71,0
72,0
73,20
74,1
75,7
76,34
77,9
78,0
79,0
80,0
81,4
82,1
83,0
84,0
85,0
86,0
87,0
88,1
89,1
90,0
91,0
92,0
93,2
94,17
95,1
96,0
97,0
98,0
99,0
100,0
101,4
102,0
103,0
104,1
105,0
106,10
107,0
108,0
109,15
110,0
111,0
112,0
113,9
114,6
