Id,Wins
0,0
1,9
2,1
3,21
4,0
5,1
6,5
7,0
8,9
9,0
10,1
11,1
12,1
13,0
14,0
15,2
16,1
17,0
18,5
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,16
29,1
30,0
31,0
32,0
33,10
34,0
35,0
36,0
37,0
38,1
39,0
40,1
41,12
42,4
43,5
44,16
45,0
46,0
47,13
48,20
49,1
50,0
51,50
52,0
53,0
54,29
55,1
56,0
57,1
58,0
59,0
60,10
61,0
62,9
63,11
64,0
65,0
66,0
67,9
68,0
69,0
70,9
71,0
72,2
73,0
74,0
75,0
76,0
77,5
78,0
79,0
80,0
81,1
82,0
83,0
84,1
85,1
86,0
87,0
88,40
89,1
90,0
91,0
92,0
93,24
94,11
95,2
96,15
97,1
98,4
99,0
100,0
101,0
102,2
103,0
104,0
105,0
106,0
107,0
108,0
109,4
110,0
111,0
112,0
113,0
114,2
